Annual total and dues,,
,,
Line,Standard prices,With nonprofit programs
Recurring costs (from the recurring costs sheet),4186.24,2958.24
Fee for an outside body holding the money,465.14,328.69
Contingency,465.14,328.69
Annual total to be covered by dues,5116.52,3615.63
,,
One-time costs of forming the company,,
Item,Amount,Note
Ohio articles of organization,99,Published
Trade name registration (only if the public name differs),39,Published
Operating agreement and attorney review,0,"PRICE NEEDED - the document that carries the liability shield, the release vote and the chapters' ownership"
Federal tax-exemption application (only if exempt status is sought),600,"$275 short form, $600 full form. Not required to operate"
Total one-time,738,
