Where each price came from,
Topic,Detail
Prices stated by Doug,"EspoCRM Advanced Pack $395 a year standard and $295 a year for nonprofits. Anthropic offers nonprofits an 80 percent discount. Google Workspace has a free nonprofit edition."
Nonprofit programs,"All three need the Association to qualify. It is a limited liability company owned by its member chapters (rulings 23 and 24), so eligibility has to be confirmed with each provider."
Google Workspace,$7 per person per month on the annual plan: emailtooltester.com/en/blog/google-workspace-pricing/
DigitalOcean,"Server and backup prices: digitalocean.com/pricing/droplets. Application and database prices: digitalocean.com/pricing/app-platform"
Proton Pass,ifeeltech.com/blog/proton-pass-business-review
ClickUp,clickup.com/pricing
Claude,claude.com/pricing
Ohio company fees,"Articles of organization $99; no annual report and no yearly state fee; statutory agent about $125 a year: llcforge.com/llc-costs/ohio/ and llcuniversity.com/ohio-llc/registered-agent/"
Fee for an outside body holding the money,"5%-15% of funds received; 3%-8% for the lighter form of sponsorship: holisticunderground.org/fiscal-sponsorship/fees"
Insurance,"Directors and officers about $800 a year, general liability about $500 a year: insureon.com/nonprofit-business-insurance/cost"
Federal exemption application,irs.gov Form 1023 user fee
Not checked,"The test system's application and database prices are estimates. Cleveland's current bill is the better source."
